time_s,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6,V3R,V4R,V7
0.0,2.504869815534864e-39,9.348063935687707e-39,6.843194120152842e-39,-5.926466875611286e-39,-2.1691621523089892e-39,9.348301417921796e-39,3.8553225512162125e-39,5.049174811483659e-39,6.001075227119399e-39,4.841363514539074e-39,3.923603646590456e-39,2.997308641720057e-39,3.045278959055768e-39,1.1255711648932029e-39,1.4277070576531241e-40
0.001,0.12566365446647032,0.12566365446647032,0.12566365446647032,0.12566365446647032,0.12566365446647032,0.12566365446647032,0.12566365446647032,0.12566365446647032,0.12566365446647032,0.12566365446647032,0.12566365446647032,0.12566365446647032,0.12566365446647032,0.12566365446647032,0.12566365446647032
0.002,0.2513269988703651,0.2513269988703651,0.2513269988703651,0.2513269988703651,0.2513269988703651,0.2513269988703651,0.2513269988703651,0.2513269988703651,0.2513269988703651,0.2513269988703651,0.2513269988703651,0.2513269988703651,0.2513269988703651,0.2513269988703651,0.2513269988703651
0.003,0.3769897231498738,0.3769897231498738,0.3769897231498738,0.3769897231498738,0.3769897231498738,0.3769897231498738,0.3769897231498738,0.3769897231498738,0.3769897231498738,0.3769897231498738,0.3769897231498738,0.3769897231498738,0.3769897231498738,0.3769897231498738,0.3769897231498738
0.004,0.5026515172447161,0.5026515172447161,0.5026515172447161,0.5026515172447161,0.5026515172447161,0.5026515172447161,0.5026515172447161,0.5026515172447161,0.5026515172447161,0.5026515172447161,0.5026515172447161,0.5026515172447161,0.5026515172447161,0.5026515172447161,0.5026515172447161
0.005,0.6283120710969068,0.6283120710969068,0.6283120710969068,0.6283120710969068,0.6283120710969068,0.6283120710969068,0.6283120710969068,0.6283120710969068,0.6283120710969068,0.6283120710969068,0.6283120710969068,0.6283120710969068,0.6283120710969068,0.6283120710969068,0.6283120710969068
0.006,0.7539710746515205,0.7539710746515205,0.7539710746515205,0.7539710746515205,0.7539710746515205,0.7539710746515205,0.7539710746515205,0.7539710746515205,0.7539710746515205,0.7539710746515205,0.7539710746515205,0.7539710746515205,0.7539710746515205,0.7539710746515205,0.7539710746515205
0.007,0.8796282178574577,0.8796282178574577,0.8796282178574577,0.8796282178574577,0.8796282178574577,0.8796282178574577,0.8796282178574577,0.8796282178574577,0.8796282178574577,0.8796282178574577,0.8796282178574577,0.8796282178574577,0.8796282178574577,0.8796282178574577,0.8796282178574577
0.008,1.0052831906682087,1.0052831906682087,1.0052831906682087,1.0052831906682087,1.0052831906682087,1.0052831906682087,1.0052831906682087,1.0052831906682087,1.0052831906682087,1.0052831906682087,1.0052831906682087,1.0052831906682087,1.0052831906682087,1.0052831906682087,1.0052831906682087
0.009000000000000001,1.130935683042619,1.130935683042619,1.130935683042619,1.130935683042619,1.130935683042619,1.130935683042619,1.130935683042619,1.130935683042619,1.130935683042619,1.130935683042619,1.130935683042619,1.130935683042619,1.130935683042619,1.130935683042619,1.130935683042619
0.01,1.256585384945654,1.256585384945654,1.256585384945654,1.256585384945654,1.256585384945654,1.256585384945654,1.256585384945654,1.256585384945654,1.256585384945654,1.256585384945654,1.256585384945654,1.256585384945654,1.256585384945654,1.256585384945654,1.256585384945654
0.011,1.3822319863491652,1.3822319863491652,1.3822319863491652,1.3822319863491652,1.3822319863491652,1.3822319863491652,1.3822319863491652,1.3822319863491652,1.3822319863491652,1.3822319863491652,1.3822319863491652,1.3822319863491652,1.3822319863491652,1.3822319863491652,1.3822319863491652
0.012,1.507875177232654,1.507875177232654,1.507875177232654,1.507875177232654,1.507875177232654,1.507875177232654,1.507875177232654,1.507875177232654,1.507875177232654,1.507875177232654,1.507875177232654,1.507875177232654,1.507875177232654,1.507875177232654,1.507875177232654
0.013000000000000001,1.6335146475840367,1.6335146475840367,1.6335146475840367,1.6335146475840367,1.6335146475840367,1.6335146475840367,1.6335146475840367,1.6335146475840367,1.6335146475840367,1.6335146475840367,1.6335146475840367,1.6335146475840367,1.6335146475840367,1.6335146475840367,1.6335146475840367
0.014,1.7591500874004085,1.7591500874004085,1.7591500874004085,1.7591500874004085,1.7591500874004085,1.7591500874004085,1.7591500874004085,1.7591500874004085,1.7591500874004085,1.7591500874004085,1.7591500874004085,1.7591500874004085,1.7591500874004085,1.7591500874004085,1.7591500874004085
0.015,1.884781186688812,1.884781186688812,1.884781186688812,1.884781186688812,1.884781186688812,1.884781186688812,1.884781186688812,1.884781186688812,1.884781186688812,1.884781186688812,1.884781186688812,1.884781186688812,1.884781186688812,1.884781186688812,1.884781186688812
0.016,2.0104076354669984,2.0104076354669984,2.0104076354669984,2.0104076354669984,2.0104076354669984,2.0104076354669984,2.0104076354669984,2.0104076354669984,2.0104076354669984,2.0104076354669984,2.0104076354669984,2.0104076354669984,2.0104076354669984,2.0104076354669984,2.0104076354669984
0.017,2.1360291237641924,2.1360291237641924,2.1360291237641924,2.1360291237641924,2.1360291237641924,2.1360291237641924,2.1360291237641924,2.1360291237641924,2.1360291237641924,2.1360291237641924,2.1360291237641924,2.1360291237641924,2.1360291237641924,2.1360291237641924,2.1360291237641924
0.018000000000000002,2.2616453416218603,2.2616453416218603,2.2616453416218603,2.2616453416218603,2.2616453416218603,2.2616453416218603,2.2616453416218603,2.2616453416218603,2.2616453416218603,2.2616453416218603,2.2616453416218603,2.2616453416218603,2.2616453416218603,2.2616453416218603,2.2616453416218603
0.019,2.387255979094471,2.387255979094471,2.387255979094471,2.387255979094471,2.387255979094471,2.387255979094471,2.387255979094471,2.387255979094471,2.387255979094471,2.387255979094471,2.387255979094471,2.387255979094471,2.387255979094471,2.387255979094471,2.387255979094471
0.02,2.5128607262502634,2.5128607262502634,2.5128607262502634,2.5128607262502634,2.5128607262502634,2.5128607262502634,2.5128607262502634,2.5128607262502634,2.5128607262502634,2.5128607262502634,2.5128607262502634,2.5128607262502634,2.5128607262502634,2.5128607262502634,2.5128607262502634
0.021,2.6384592731720105,2.6384592731720105,2.6384592731720105,2.6384592731720105,2.6384592731720105,2.6384592731720105,2.6384592731720105,2.6384592731720105,2.6384592731720105,2.6384592731720105,2.6384592731720105,2.6384592731720105,2.6384592731720105,2.6384592731720105,2.6384592731720105
0.022,2.7640513099577815,2.7640513099577815,2.7640513099577815,2.7640513099577815,2.7640513099577815,2.7640513099577815,2.7640513099577815,2.7640513099577815,2.7640513099577815,2.7640513099577815,2.7640513099577815,2.7640513099577815,2.7640513099577815,2.7640513099577815,2.7640513099577815
0.023,2.8896365267217123,2.8896365267217123,2.8896365267217123,2.8896365267217123,2.8896365267217123,2.8896365267217123,2.8896365267217123,2.8896365267217123,2.8896365267217123,2.8896365267217123,2.8896365267217123,2.8896365267217123,2.8896365267217123,2.8896365267217123,2.8896365267217123
0.024,3.0152146135947633,3.0152146135947633,3.0152146135947633,3.0152146135947633,3.0152146135947633,3.0152146135947633,3.0152146135947633,3.0152146135947633,3.0152146135947633,3.0152146135947633,3.0152146135947633,3.0152146135947633,3.0152146135947633,3.0152146135947633,3.0152146135947633
0.025,3.140785260725489,3.140785260725489,3.140785260725489,3.140785260725489,3.140785260725489,3.140785260725489,3.140785260725489,3.140785260725489,3.140785260725489,3.140785260725489,3.140785260725489,3.140785260725489,3.140785260725489,3.140785260725489,3.140785260725489
0.026000000000000002,3.2663481582808003,3.2663481582808003,3.2663481582808003,3.2663481582808003,3.2663481582808003,3.2663481582808003,3.2663481582808003,3.2663481582808003,3.2663481582808003,3.2663481582808003,3.2663481582808003,3.2663481582808003,3.2663481582808003,3.2663481582808003,3.2663481582808003
0.027,3.3919029964467278,3.3919029964467278,3.3919029964467278,3.3919029964467278,3.3919029964467278,3.3919029964467278,3.3919029964467278,3.3919029964467278,3.3919029964467278,3.3919029964467278,3.3919029964467278,3.3919029964467278,3.3919029964467278,3.3919029964467278,3.3919029964467278
0.028,3.517449465429192,3.517449465429192,3.517449465429192,3.517449465429192,3.517449465429192,3.517449465429192,3.517449465429192,3.517449465429192,3.517449465429192,3.517449465429192,3.517449465429192,3.517449465429192,3.517449465429192,3.517449465429192,3.517449465429192
0.029,3.6429872554547598,3.6429872554547598,3.6429872554547598,3.6429872554547598,3.6429872554547598,3.6429872554547598,3.6429872554547598,3.6429872554547598,3.6429872554547598,3.6429872554547598,3.6429872554547598,3.6429872554547598,3.6429872554547598,3.6429872554547598,3.6429872554547598
0.03,3.7685160567714124,3.7685160567714124,3.7685160567714124,3.7685160567714124,3.7685160567714124,3.7685160567714124,3.7685160567714124,3.7685160567714124,3.7685160567714124,3.7685160567714124,3.7685160567714124,3.7685160567714124,3.7685160567714124,3.7685160567714124,3.7685160567714124
0.031,3.8940355596493124,3.8940355596493124,3.8940355596493124,3.8940355596493124,3.8940355596493124,3.8940355596493124,3.8940355596493124,3.8940355596493124,3.8940355596493124,3.8940355596493124,3.8940355596493124,3.8940355596493124,3.8940355596493124,3.8940355596493124,3.8940355596493124
0.032,4.019545454381564,4.019545454381564,4.019545454381564,4.019545454381564,4.019545454381564,4.019545454381564,4.019545454381564,4.019545454381564,4.019545454381564,4.019545454381564,4.019545454381564,4.019545454381564,4.019545454381564,4.019545454381564,4.019545454381564
0.033,4.145045431284979,4.145045431284979,4.145045431284979,4.145045431284979,4.145045431284979,4.145045431284979,4.145045431284979,4.145045431284979,4.145045431284979,4.145045431284979,4.145045431284979,4.145045431284979,4.145045431284979,4.145045431284979,4.145045431284979
0.034,4.270535180700838,4.270535180700838,4.270535180700838,4.270535180700838,4.270535180700838,4.270535180700838,4.270535180700838,4.270535180700838,4.270535180700838,4.270535180700838,4.270535180700838,4.270535180700838,4.270535180700838,4.270535180700838,4.270535180700838
0.035,4.39601439299566,4.39601439299566,4.39601439299566,4.39601439299566,4.39601439299566,4.39601439299566,4.39601439299566,4.39601439299566,4.39601439299566,4.39601439299566,4.39601439299566,4.39601439299566,4.39601439299566,4.39601439299566,4.39601439299566
0.036000000000000004,4.521482758561962,4.521482758561962,4.521482758561962,4.521482758561962,4.521482758561962,4.521482758561962,4.521482758561962,4.521482758561962,4.521482758561962,4.521482758561962,4.521482758561962,4.521482758561962,4.521482758561962,4.521482758561962,4.521482758561962
0.037,4.646939967819025,4.646939967819025,4.646939967819025,4.646939967819025,4.646939967819025,4.646939967819025,4.646939967819025,4.646939967819025,4.646939967819025,4.646939967819025,4.646939967819025,4.646939967819025,4.646939967819025,4.646939967819025,4.646939967819025
0.038,4.772385711213656,4.772385711213656,4.772385711213656,4.772385711213656,4.772385711213656,4.772385711213656,4.772385711213656,4.772385711213656,4.772385711213656,4.772385711213656,4.772385711213656,4.772385711213656,4.772385711213656,4.772385711213656,4.772385711213656
